"","state","location","both_sexes_2008","females_2008","males_2008"
"1","National","United States",56.1,49,63.4
"2","Alabama","Alabama",42.6,35.5,50
"3","Alabama","Autauga County",41.2,33.7,48.9
"4","Alabama","Baldwin County",55.1,48.2,62.3
"5","Alabama","Barbour County",37,29.1,45.3
"6","Alabama","Bibb County",34.2,26.7,42.1
"7","Alabama","Blount County",34.1,25.3,43.2
"8","Alabama","Bullock County",36.5,28.6,44.7
"9","Alabama","Butler County",35.6,27.8,43.7
"10","Alabama","Calhoun County",38.9,31.2,46.9
"11","Alabama","Chambers County",36.7,29.8,43.8
"12","Alabama","Cherokee County",31.9,21.9,42.2
"13","Alabama","Chilton County",31.6,22.8,40.7
"14","Alabama","Choctaw County",31.5,21.4,42
"15","Alabama","Clarke County",34.6,26,43.5
"16","Alabama","Clay County",29.8,22.1,37.8
"17","Alabama","Cleburne County",30.8,22.3,39.6
"18","Alabama","Coffee County",40.2,33.4,47.3
"19","Alabama","Colbert County",36.2,29.7,42.9
"20","Alabama","Conecuh County",36.5,27.7,45.7
"21","Alabama","Coosa County",34.7,26.3,43.5
"22","Alabama","Covington County",35.8,29.4,42.3
"23","Alabama","Crenshaw County",31.5,23.3,40
"24","Alabama","Cullman County",32.9,24,42.2
"25","Alabama","Dale County",40.4,32.8,48.2
"26","Alabama","Dallas County",39.7,32.9,46.6
"27","Alabama","DeKalb County",31,21.6,40.7
"28","Alabama","Elmore County",42.9,37,48.9
"29","Alabama","Escambia County",35.9,30.2,41.8
"30","Alabama","Etowah County",38.5,30.2,47.2
"31","Alabama","Fayette County",28.7,20.1,37.7
"32","Alabama","Franklin County",28.6,19.3,38.3
"33","Alabama","Geneva County",33.1,24.5,42
"34","Alabama","Greene County",36.2,26.3,46.3
"35","Alabama","Hale County",35.8,25.1,46.9
"36","Alabama","Henry County",34.3,26.7,42.3
"37","Alabama","Houston County",42.8,35.8,50.1
"38","Alabama","Jackson County",31.4,23.2,40
"39","Alabama","Jefferson County",49.9,43.7,56.4
"40","Alabama","Lamar County",27.9,19.5,36.7
"41","Alabama","Lauderdale County",35.7,29,42.7
"42","Alabama","Lawrence County",28.8,20.7,37.2
"43","Alabama","Lee County",49.9,45.2,54.7
"44","Alabama","Limestone County",36.5,29.3,44
"45","Alabama","Lowndes County",37.1,26.3,48.2
"46","Alabama","Macon County",42.5,35.8,49.5
"47","Alabama","Madison County",48.6,42.9,54.5
