"","state","location","both_sexes_2010","females_2010","males_2010"
"1","California","Marin County",73.2,70.1,76.4
"2","California","Sonoma County",67.3,63.2,71.5
"3","California","Nevada County",66.6,62.9,70.5
"4","California","San Francisco County",66.1,60.6,71.8
"5","California","El Dorado County",66,61.5,70.6
"6","California","Napa County",65.4,58.8,72.1
"7","California","Contra Costa County",64.4,59.2,69.9
"8","California","San Mateo County",64.3,58.1,70.7
"9","California","Santa Cruz County",64.3,58.6,70.3
"10","California","Yolo County",63.4,56.5,70.5
"11","California","Placer County",63.3,59,67.7
"12","California","Humboldt County",63.2,59.1,67.6
"13","California","Mono County",63.2,58,68.7
"14","California","Plumas County",63,58.6,67.5
"15","California","San Luis Obispo County",62.9,57.6,68.4
"16","California","Alpine County",62.8,60.8,64.8
"17","California","Amador County",62.7,59.8,65.7
"18","California","Mendocino County",62.3,57.7,67
"19","California","Trinity County",62,57.4,66.8
"20","California","Calaveras County",61.9,57.2,66.9
"21","California","Sierra County",61.6,57.1,66.4
"22","California","Mariposa County",60.8,56.1,65.7
"23","California","Ventura County",59.9,52.1,68
"24","California","Alameda County",59.6,54.2,65.2
"25","California","Santa Barbara County",59.4,51.1,67.9
"26","California","Lassen County",59.1,56.8,61.5
"27","California","San Diego County",59.1,51.7,66.7
"28","California","Modoc County",59,54.2,64
"29","California","Solano County",58.9,53.1,64.8
"30","California","Butte County",58.7,52.6,65.1
"31","California","Orange County",58.7,51.5,66.2
"32","California","Santa Clara County",58.7,51.5,66.2
"33","California","Tuolumne County",58.5,54.5,62.7
"34","California","Siskiyou County",58.3,52.7,64.1
"35","California","Lake County",58.1,51.4,65
"36","California","Sacramento County",57.9,53.2,62.8
"37","California","Inyo County",57.8,51.3,64.5
"38","California","Tehama County",56.8,50.5,63.2
"39","California","California",56.3,48.8,64.1
"40","California","Shasta County",56.3,50.7,62.1
"41","California","Del Norte County",54.4,50.1,58.8
"42","California","Yuba County",54.4,46,63.1
"43","California","Colusa County",54.2,44.8,64
"44","California","San Benito County",54.1,43.6,64.9
"45","California","Glenn County",54,45.5,62.8
"46","California","Riverside County",53.5,44.9,62.4
"47","California","Monterey County",53.3,44.1,62.8
"48","California","Los Angeles County",52.8,44.2,61.6
"49","California","Sutter County",52.6,44.7,60.8
"50","California","San Joaquin County",51.8,43.4,60.5
"51","California","Stanislaus County",51.3,42.5,60.4
"52","California","San Bernardino County",50,40.7,59.7
"53","California","Madera County",49.3,39.1,59.9
"54","California","Kings County",48.5,39.8,57.4
"55","California","Merced County",47.6,37.5,58
"56","California","Kern County",47.5,38.1,57.3
"57","California","Tulare County",46.7,36.1,57.6
"58","California","Fresno County",45.9,37.1,55
"59","California","Imperial County",43.6,30.3,57.3
