"","state","max","na.rm"
"1","Alabama",16.9,TRUE
"2","Alaska",27.6,TRUE
"3","Arizona",22.7,TRUE
"4","Arkansas",19.2,TRUE
"5","California",24,TRUE
"6","Colorado",31.9,TRUE
"7","Connecticut",21.6,TRUE
"8","Delaware",20.9,TRUE
"9","District Of Columbia",22,TRUE
"10","Florida",25,TRUE
"11","Georgia",18.4,TRUE
"12","Hawaii",22.6,TRUE
"13","Idaho",29.2,TRUE
"14","Illinois",32.6,TRUE
"15","Indiana",24.6,TRUE
"16","Iowa",32.3,TRUE
"17","Kansas",24,TRUE
"18","Kentucky",27.3,TRUE
"19","Louisiana",23,TRUE
"20","Maine",22.1,TRUE
"21","Maryland",24,TRUE
"22","Massachusetts",24.1,TRUE
"23","Michigan",33.3,TRUE
"24","Minnesota",30.6,TRUE
"25","Mississippi",18.5,TRUE
"26","Missouri",24.4,TRUE
"27","Montana",33.2,TRUE
"28","National",18.3,TRUE
"29","Nebraska",35.2,TRUE
"30","Nevada",33.8,TRUE
"31","New Hampshire",22.4,TRUE
"32","New Jersey",22.6,TRUE
"33","New Mexico",20.1,TRUE
"34","New York",23,TRUE
"35","North Carolina",20.1,TRUE
"36","North Dakota",34.2,TRUE
"37","Ohio",27.1,TRUE
"38","Oklahoma",18,TRUE
"39","Oregon",23.6,TRUE
"40","Pennsylvania",28.1,TRUE
"41","Rhode Island",23.2,TRUE
"42","South Carolina",23.6,TRUE
"43","South Dakota",32.8,TRUE
"44","Tennessee",16.3,TRUE
"45","Texas",35.5,TRUE
"46","Utah",18,TRUE
"47","Vermont",23.4,TRUE
"48","Virginia",25.6,TRUE
"49","Washington",21.4,TRUE
"50","West Virginia",16,TRUE
"51","Wisconsin",36,TRUE
"52","Wyoming",27.2,TRUE
